Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY
عندك شي هوايات بتحب تمارسا ؟,بحب لعبة الفتبول و الباسكت,عندك اي هوايات بتحب تمارسها ؟,بحب لعبة الكورة و السلة
وينو الأستاذ ما إجا عالمحاضرة اليوم,شكلو مريض حرام,فين الأستاذ مجاش عالمحضرة انهردة,شكله تعبان يا حرام
شو عندك نهار الجمعة ؟,ولا شي أخدت عطلة من الشغل. بدك نروح مشوار ؟,عندك ايه يوم الجمعة؟,ولا حاجة أخدت اجاذة من الشغل. عايز نروح مشوار ؟
شو لح تعمل على عيد ميلادك ؟,رايح أتغدا مع رفقاتي و نحضر فيلم,حتعمل ايه في عيد ميلادك؟,رايح أتغدا مع صحابي و نتفرج على فيلم
ممكن أبدل هيدا الكتاب ؟,ايه ممكن بس ورجيني بطاقتك لو سمحت,ممكن ابدل الكتاب ده؟,اه ممكن بس وريني بطاقتك لو سمحت
بعدك عايش مع أمك و أبوك ؟,ايه بعدني بس يمكن أنتقل قريبا,انت لسة عايش مع ابوك و امك؟,ايه لسة عايش معاهم بس ممكن أنقل قريب
وجك مصفر كتير اليوم شو صاير معك ؟,مش عارف بس شكلي لح غررب,وشك مصفر النهردة جامد ايه الي حاصل معاك؟,مش عارف بس شكلي حيجيلي برد
اليوم كتير كان بتععب بدي روح اشرب عصير,فكرة حلوة بركي بتتنشط شوي,النهردة كان يوم متعب اوي عايز اروح اشرب عصير,فكرة حلوة يمكن افرفش شوية
بدي عزبك بس قدي الساعة ؟,ما بعرف ما معي ساعة,حتعبك معايا بس الساعة كام؟,معرفش معيش ساعة
وقعت مني الساعة مبارح و بطلت تمشي,خدا عند المصلح بظبتلك ياها,وقعت مني الساعة امبارح وباظت,خدها عند الساعاتي حيظبطهالك
بتعرف شي مين هني أجدادك ؟,لا ولله انفقدت شجرة العيلة,تعرف مين هما جدودك؟,لا ولله ضاعت شجرة العيلة
رايح كزدر على الشط بعد ساعة بتحبي تجي معي ؟,يا ريت بس عندي شغل بدي خلصو ضروري,رايح اتمشى علي الشط بعد ساعة تحب تيجي معايا ؟,ياريت ولله بس عندي شغل عايز اخلصوا ضروري
قالولي رحت على التلج من يومين كيف كانت ؟,مشوار حلو الصراحة انبسطت كتير,قالولي رحت علي التلج من يومين كانت عاملة ازاي ؟,مشوار حلو الصراحة اتبسطت اوي
رحت شي عند الحكيم ؟,بكرا رايح بس خلص جامعة,رحت للدوكتر؟,بكرا رايح بعد ما اخلص جامعة
سمعت شي بالأخبار ؟,لأ خير شو في شو صاير ؟,سمعت الاخبار ؟,لأ خير في ايه الي حاصل ؟
كيف بتروح على المدرسة ؟,أمرار مشي أمرار بيي بوصلني,بتروح المدرسة ازاي ؟,أمرار مشي أمرار ابويا بيوصلني
شو بيه معصب و عم بفش خلقه فينا ؟,انتزع السخان و ما في مي سخنة,ماله متعصب و جاي يطلع عصبيته علينا؟,السخان باظ ومافيش ميه سخنة
ايمتا لح تسافر ؟,بعد كم شهر لكون خلصت جامعة,حتسافر امتى؟,بعد كام شهر عشان اكون خلصت جامعة
كتير حلو الطقس اليوم,فعلا كتير حلو خرج نضهر مشوار,حلو اوي الجو انهردة,فعلا حلو اوي يستاهل نخرج مشوار
سكرت الدكانة كان بدي جيب غراض للبيت,بسيطة.هلق من شوف دكانة غيرها,الكشك قفل كنت عايز اجيب حاجات للبيت,بسيطة. دلوقتي حشوف كشك غيره
سمعت انو أخت لح تتجوز بعد شهر مبروك,مش مزبوط ابدا. مين قال هيدا الحكي ؟,سمعت انو اختك حتتجوز بعد شهر مبروك,مش مزبوط نهائي. مين قالك الكلام ده
لوين رايحين ؟,بدنا نروح اليوم رحلة على المتحف,رايحين فين؟,عايزين نرح النهردة على المتحف
شو رأيك نروح عالسينما اليوم ؟,تمام فكرة حلوة. من زمان جايي عبالي والله. شو بدك تحضر؟,ايه رأيك نروح علي السينما انهردة؟,تمام فكرة حلوة. من زمان جايي على بالي ولله. عايز تتفرج على ايه
حاسس حالي كتير مضايق,سلامتك خير شو اشبك ؟ بشو حاسس ؟,حاسس نفسي مضايق جامد,سلامتك خير مالك ؟ حاسس بايه ؟
شو نوع سيارتك اللي بتسوقها عادة ؟,عندي تويوتا قديمة بدي غيرها زهقت منا,ايه نوع عربيتك الي بتسوقها في العادي؟,عندي تويوتا قديمة عايز اغيرها زهقت منها
يا الله شو هالطقس اليوم بالمرة,فعلا طقس زفت اليوم,يا الله ايه الجو ده انهردة,فعلا الجو انهردة زفت
شو بتعمل بأوقات فراغك ؟,بحب أعزف عالعود و أسمع موسيقى,بتعمل ايه في اوقات فراغك؟,بحب اعزف عالعود أو أسمع موسيقى
بدي قول لرفيقتي انو بحبها بس خيفان,لا ما تخاف. أنا برأي كون جريء و قلها,عايز اقول لصحبتي اني بحبها بس خايف,لا متخفش. أنا في رأي كون جريْ وقلها
شو رياضتك المفضلة ؟,بحب السباحة كتير. كان بدي احترف السباحة,ايه رياضتك المفضلة ؟,بحب السباحة اوي. كان نفسي احترف السباحة
شو يلي مخللاك مبسوط هلقد ؟,ربحنا نهائي كأس اليوم,ايه الي مخليك مبسوط للدرجادي ؟,كسبنا نهائي كأس انهردة
لح تروح على الحفلة نهار السبت ؟,اي لح روح اكيد ولو,حتروح على الحفلة يوم السبت ؟,اه حروح ايد عيب عليك
فيي احكي معك بخصوص الإمتحان ؟,ما في مشكلة أكيد. مرق لعندي عالمكتب بأوقات فراغي,ممكن اتكلم معاك بخصوص الإمتحان ؟,مفيش مشكلة طبعا. عدي عليا عامكتب في أوقات فراغي
الله يوفقك اليوم بإمتحانك,شكرا ماما الله يخليلي ياكي,الله يوفقك النهردة في امتحانك,شكرا ماما ربنا يخليكي لينا
خلص ما بقا بدي اشتغل معو لهيدا الشخص. العمى شو مزعج,ليه شو صاير معك ؟ خبرني,خلاص ما بقتش عايز اشتغل مع الشخص ده. يخريبيته قد ايه مزعج,ليه ايه الي حاصل معاك ؟ قلي
يا زلمي انغشيت اليوم,ما تقلي نصبوا عليك بالسوق مرة تانية,يا راجل اتنصب عليا النهردة,متقليش نصبوا عليك في السوق مرة تانية
مزبوطة الساعة ؟ كأنو مأخرة,ايه يمكن خلصت بطاريتها,مزبوطة الساعة ؟ كأنها متأخرة,اه يمكن خلصت بطاريتها
شو يا ست كيفك ؟ زمان ما شفناكي,اهلين فيك! والله مضغوطة بالدرس,ايه يا ست عاملة ايه ؟ ماشفناكيش من زمان,اهلن بيك! والله مضغوطة في المذاكرة
راسي عم يوجعني شو بدي أعمل ؟,شربلك كباية عصير ليمون بركي بتروق,راسي بيوجعني اعمل ايه؟,اشربلك كباية عصير لمون يمكن تروق
لازم الواحد يضل عم يتعلم و يطور نفسه,معك حق مليون بالمية. العلم ما إلو نهاية,لازم الواحد يفضل يتعلم و يطور نفسه,معاك حق مليون في المية. العلم مالوش نهاية
قدي عمرك ؟,خمسة و عشرين ليه ؟,عندك كام سنة؟,خمسة و عشرين ليه ؟
شو هالريحة العمى شي بقرف !,هيدي من الدخان و الأركيلة,ايه الريحة ديه حاجة تقرف !,ديه من الدخان و الشيشا
ليه هيك شكلك متلج ؟,تحممت بميي باردة كتير,شكلك متلج كدة ليه ؟,استحميت بمياه سقعة اوي
الله يلعن هالبلد انقطعت الكهربا !,الها من امبارح مقطوعة,الله البلد الكهربا اتقطعت !,من امبارح مقطوعة
شو غرت لأني سلمت على رفيقك ؟,لأ ليش بدي غار يعني ؟,ايه غرت عشان سلمت على صحبتك ؟,لأ ليه لازم اغير يعني ؟
ما طيبة هالجبنة. طعمتها متل البلاستيك,معك حق. كرمال هيك كتير رخيصة,مش حلوة الجبنة ديه. طعمها ذي البلاستيك,معاك حق. عشان كدة رخيصة جدا
عاملين حفلة بالبيت عشية تعا,يا ريت بس ضاهر مع خطيبتي,عاملين حفلة في البيت عالعشى تعالى,ياريت بس خارج مع خطيبتي
عم ب قولوا عالأخبار إنو بدها تشتي بكرا,منيح اللي قلتلي كنا رايحين نلعب فوتبول. إذا هيك لح نأجلها,بيقولوا عالأخبار انها حتشتي بكرا,كويس انك قلتلي كنا رايحين نلعب كورة. لو كدة حنأجلها
بترف شي مين هيدي الصبية ؟ كتير حلوين شعراتها,هيدي بنت خالتي,تعرف مين البنت ديه ؟ شعرها حلو اوي,ديه بنت خالتي
ما ضقيتلي امبارح كنت ناطر منك اتصال,انتزع عندي شريط الكهرباء باليت و كنت عم صلحو,مرنتليش امبارح كنت مستني منك مكالمة,باظ عندي سلك الكهرباء في البيت و كنت بصلحوا
كيف كانت عطلتك ؟,منيحة ما بها شي. تسلينا شوي,اخبارك الأجازة معاك ايه ؟,كويسة مفيهاش حاجة. امبسطنا شوية
قدي بدي وقت لأوصل على راس الجبل ؟,شي ساعة و نص بالكتير,محتاج وقت قد ايه عشان اوصل على راس الجبل ؟,يعني ساعة و نص بالكتير
شكلك قعدت محلي استاذ,عفوا ما تواخذني بالغلط,شكلك قعدت مكاني يا استاذ,عفوا لامؤاخذة غصب عني
قدي معدل الحياة عندك بالبلد ؟,عالتلوث ما شكلنا حنضاين,قد ايه معدل الحياة في البلد عندك ؟,عالتلو شكلنا مش حنعيش
رايح عاليابان بالصيفية,حلو بس الأكل هونيك بالمرة,رايح على اليابان في الصيف,كويس بس الاكل هناك مجاش
كيفك يا زلمي ؟,الحمدلله ماشي الحال,عامل ايه يراجل ؟,الحمدلله الدنيا ماشية
فيك تعيطلي لمديرك بدي اشتكي,ليش يا استاذ شو يلي زاعجك ؟,ممكن تناديلي مديرك عايز اشتكي,ليه يا استاذ ايه الي زاعجك ؟
مبروك الجايزة. بتستاهل !,شكرا حبيبي كلك زوق,مبروك الجايزة. بتستاهل !,شكرا يحبيبي كلك زوق
كيف لقيت الشغل الجديد ؟,كلو تمام بس تعب كتير,ازاي لقيت الشغل الجديد ؟,كله تمام بس تعب كتير
فيي ارقص معك لو سمحتي ؟,لأ عفوا أنا مخطوبة,ممكن ارقص معك لو سمحتي ؟,لأ عفوا أنا مخطوبة
في حدا اخد هيدا المقعد ؟,لا ما في حدا تفضل قعود,في حد اخد الكرسي ده ؟,لا مفيش حد اتفضل تعالا اقعد
في كتير ناس عم يتطلقوا هلأيام,اي مدري ليش هيك عم بصير,في ناس كتير بيطلقوا اليومين دول,اه مش فاهم ايه الي بيحصل
حبيتا من أول نظرة. كتير حلوة,طب روح قلها شو بعدك ناطر يا ذكي,حبيتها من أول نظرة. جميلة جدا,طب روح قلها مستني ايه يا ذكي
عفوا وين فيي سجل ؟,عند الشب هونيك هو بساعدك,بعد اذنك ممكن اسجل فين ؟,عند الشاب الي هناك هو حيساعدك
كيف دراستك ؟ كلشي تمام ؟,ايه كلو تمام لح اتخرج بعد شهر ان شاء الله,ايه اخبار دراستك ؟ كله تمام ؟,اه كله تمام حاتخرج بعد شهر ان شاء الله
عندك شي بتحب تعملو ؟,بحب أحضر افلام رومانسية,عندك حاجة بتحب تعملها ؟,بحب اتفرج على افلام رومانسية
شو هو هيدا الفلم نازل جديد ؟,ايه هيدا فلم رعب نزل من كم يوم,ايه الفيلم الي نازل جديد ده ؟,اه ده فلم رعب نزل من كام يوم
مين هيدي المرا ؟,هيدي ستي أم ابوي,مين الست ديه ؟,ديه ستي ام ابويا
ماما اجريي عم يوجعوني كتير,هلق باخدك عند الحكيم,ماما رجلي بتوجعني جامد,دلوقتي هاخدك للدكتور
مرتي كتير شاطرة بالطبخ. مبارع عملتلي معكرونة كتير طيبة,بس اكيد مش اشطر من مرتي. تعلمت الطبخ عند شيف عالمي,مراتي شاطرة جدا في الطبخ. امبارح عملتلي مكرونة حلوة جدا,بس اكيد مش اشطر من مراتي. اتعلمت الطبخ عند شيف عالمي
مبارح تععشيت عشى كتير طيب يا لطيف,صحتين و هنا على قلبك,امبارح اتعشيت عشا طيب اوي يا لطيف,بالهنا و الشفا
اليوم حلو كتير الطقس شو رأيك نروح نتمشى ؟,والله ما قادرة تعبانة كتير,الجو النهردة حلو ايه رأيك نروح نتمشى ؟,ولله مش قادرة تاعبانة اوي
في حدا سرقلي جزداني,لازم نتصل بالشرطة,في حد سرقلي شنتطي,لازم نتصل بالشرطة
فيي احكي معك بموضوع شخصي شوي ؟,ماشي بس ما معي وقت كتير,ممكن اكلمك في موضوع شخصي شوية ؟,ماشي بس معيش وقت كتير
يلا يا زلمي عجل لح يروح علينا الباص,عطيني بس دقيقتين و بكون خلصت,يلا يا راجل انجز حيفوتنا الباص,اديني بس دقيقتين و اكون خلصت
كيف كانت ضهرتك مبارح ؟,منيحة بس انتزعت السيارة بنص الطريق,ايه اخبار خروجة امبارح ؟,كويسة بس عطلت العربية في نص الطريق
عندك سفرة شغل ؟,ايه رايح على فرنسا يومين,عندك سفرية شغل ؟,اه رايح على فرنسا يومين
سمعت انو في فيروس جديد اسمو كورونا ؟,ايه سمعت في الله يجيرنا,سمعت انو في فيروس جديد اسمو كورونا ؟,اه سمعت الله ينقذنا
شو رأيك ببنطلوني الجديد ؟,عحبني حلو بس كأنو ضيق شوي,ايه رأيك في بنطلوني الجديد ؟,عجبني حلو بس كأنو ضيق شوية
بدك وصلك على البيت ؟ معي سيارة,شكرا حبيبي ما بدي عزبك هلق باخد سرفيس,عايزني اوصلك على البيت ؟ معايا عربية,شكرا حبيبي مش عايز اتعبك حاخد تاكسي
ينعاد عليكي يا حلوة,شكرا كلك زوق,كل سنة و انت طيبة يا حلوة,شكرا كلك زوق
زايد وزني منيح عن هيديك السنة,برأي بلش بالديت من هلق,زايد وزني جامد عن السنة الي فاتت,في رأي ابدا دايت من دلوقتي
ما عم لاقي دفتري ضاع,فتش منيح بتكون مدري وين حاطو,مش لاقي كرستي ضاعت,دور كويس معرفش حتكون حطه فين
شو بدك تعمل على عيد ميلادك ؟,ماشي ضاهر شوي مع رفقاتي,عايز تعمل ايه في عيد ميلادك,ماشي خارج شوية مع صحابي
تتعشي معي الليلة ؟,ايه اكيد. اي ساعة بدك ؟,تتعشي معي انهردة ؟,اه اكيد. عالساعة كام؟
تدخن سجارة معي ؟,لا يسلمو ما بدخن أنا,تشرب سجارة معايا ؟,لا تسلم مابدخنش
بشو مشغول هلق ؟,عندي اشيا المدير بدوياني خلصها اليوم,مشغول في ايه دلوقتي ؟,عندي حاجات المدير عايزني اخلصها انهردة
بتحب تسمع أغاني فيروز ؟,في حدا ما بحب يسمعن ؟,بتحب تسمع أغاني فيروز ؟,في حد مابيحبش يسمعهم ؟
عقصني البرغش بالليل,تص عليهن سبيرتو,قرصتني ناموسة بليل,رش عليهم سبرتو
حاش تروح و تجي دوختني,عم فتش عالريموت مضري وين محطوطة,بطل تروح و تيجي دوختني,بدور على الريموت مش عارف حطه فين
حاج تلف و تدور خلصني و قلي شو بدك,خلص غيرت رأي ما بقا بدي,بطل تلف و تدور قلي عايز ايه,خلاص غيرت رأي مبقتش عايز
ما تواخذني بس صار لازم روح,ولا يهمك انتبه على حالك,لا مؤاخذة بس لازم امشي,ولا يهمك خد بالك من نفسك
هيدا المقعد فاضي ؟,ايه فاضي فيك تقعد,الكرسي ده فاضي ؟,اه فاضي ممكن تقعد
برأيك لح نربح الماتش اليوم ؟,والله صعبة بحس من شوف,تفjكر حنكسب ماتش انهردة ؟,ولله حسسها صعبة حنشوف
زادو الضريبة على المعاش اليوم,الله لا يوفقهم,زادو الضريبة على المعاش انهردة,الله لا يوفقهم
جاي لعندي بكرا ؟,ما بعرف والله بس اكيد لح خبرك عشية,جي عندي بكرا ؟,معرفش ولله بس اكيد حقلك بليل
ليش في ناس ما بيعجبها العجب؟,في ناس نيقة كتير,ليه في ناس مبيعجبهاش العجب ؟,في ناس انفة اوي
شو بدك ؟,بدي استعمل الكومبيوتر,عايز ايه ؟,عايز استعمل الكومبيوتر
شو هالطقم الحلو يللي لابسو,شكرا حبييبي انت الحلو,ايه الطقم الحلو الي انت لابسه ده,شكرا حبييبي انت الي حلو
برأيك هو يللي سرق الذهب ؟,معقولة كتير ما بستغرب,في رأيك مين الي سرق الدهب ؟,معقول جدا مبستغربش
ينعاد عليكي يا احلى أم بالدنيا,الله يخليلي ياكو شوفك عريس,كل سنة و انت طيبة يا احلى أم في الدنيا,ربنا يخليكوا ليا واشوفك عريس
اوقات ما بعرف اذا لازم سلم بالإيد,ليه يعني ؟ عادة بتسلم بالإيد ؟,ساعات مبعرفش لو لازم اسلم بالإيد,ليه يعني ؟ عادة بتسلم بالإيد ؟
سامحني نسيت إنو مبارح عيد ميلادك,ما تعطل هم اصلن انا بضل إنسا اعياد الكل,سامحني نسيت إن امبارح عيد ميلادك,ما تشيلش هم اصلن انا بفضل انسا اعياد الكل
السلام عليكم,و عليكم السلام و رحمة الله,السلام عليكم,و عليكم السلام و رحمة الله
شوف هيدا المطعم فاتح جديد شكلو منيح,انسا جربتو من يومين و ما عجبني,شوف المطعم ده فاتح جديد شكلو حلو,انسا جربته من يومين و ما عجبنيش
ايمتا اخر مرة حضرت فلم ؟,من شي ثلاثة اشهر,امتا اخر مرة اتفرجت على فيلم ؟,من حوالي تلت اشهر
عم تكذب عليي كمان ؟,لا والله عم قول الحقيقة,بتكذب عليا كمان ؟,لا ولله بقول الحقيقة
بدي بيع سيارتي بتعرف حدا ممكن يشتريها ؟,في رفيقي معقول يهمو,عايز ابيع عربيتي تعرف حد ممكن يشتريها ؟,في صحبي ممكن يهمه
بتقرا مجلات ؟,مش على طول بس بحب مجلات التكنولوجيا,بتقرا مجلات ؟,مش دايما بس بحب مجلات التكنولوجيا
ريحة الأكل كتير طيبة !!,يلا كول قبل ما يبردوا,ريحة الأكل حلوة اوي !!,يلا كل قبل ما يبرد
شو هاللوحة تحفة فنية,هيدي رسمها فنان مشهور كتير بس نسيت اسمو,ايه اللوحة ديه تحفة فنية,ديه راسمها فنان مشهور جدا بس نسيت اسمه
شو بتشتغل حضرتك ؟,بشتغل مهندس بشركة عمار,بتشتغل ايه حضرتك ؟,بشتغل مهندس بشركة عمار
شفت هيدا البيت ؟,اي واحد قزدك ؟,شفت البيت ده,قزدك انهي واحد ؟
بتعرف تلعب ورق ؟,لا بحياتي ما تقتها لهيدي اللعبة,بتعرف تلعب ورق ؟,في حياتي ما تقتها اللعبة ديه
كيف كانت عطلتك؟,حلوة رحت على البحر,عاملت ايه في اجازتك ؟,كانت حلوة رحت على البحر
لازم تحضر للإمتحان,محضر ما تعطل هم,لازم تحضر للإمتحان,محضر ماتشيلش هم
بدي شوف نجار يعملي مكتب اشتغل علي,بعرف واحد شاطر اذا بدك بدلك علي,عاوز اشوف نجار يعملي مكتب اشتغل علي,عارف واحد شاطر لو عايز حدلك عليه
عندي موعد عند الحكيم بعد ساعة,خير شو اشبك ؟,عندي موعد عند الدكتور بعد ساعة,خير مالك ؟
برأيك بسألها إذا بتروح معي على الحفلة ؟,اي ما بتخسر شي اذا سألتها,في رأيك اسألها لو تروح معايا على الحفلة ؟,اه مش حتخسر حاجة لو سألتها
شوب كتير فطست,دور المكيف أو المروحة,حر اوي فطست,شغل التكيف او المروحة
قلتلك إنو معي كورونا ؟,بيعد عني يا زلمي شو بيك !!,قلتلك اني جالي كرونا ؟,ابعد عني يا عم مالك !!
من زين فيي اشتري ثياب قديمة ؟,بدك تشوف خزلنة ستك,من زين ممكن اشتري هدوم قديمة ؟,شوف دولاب ستك
بدي زبط خطي كتير بشع,اشتري دفتر خط,عايز ازبط خطي وحش اوي,اشتري كراسة خط
صرلي اسبوعين عم جرب و مش عم تظبت معي,طول بالك لازم تكون صبور يا زلمي,بقالي اسبوعين بجرب و مش بتظبط معايا,طول بالك لازم تكون صبور يا راجل
لح يجيني ولد جديد,الف مبروك صبي أو بنت ؟,حيجيلي ولد جديد,الف مبروك ولد أو بنت ؟
حفيدي دكتور بشوف حالي في,اي و أنا حفيدي مهندس,حفيدي دكتور بتباها بيه,اه انا و أنا حفيدي مهندس
بلشت الموسيقى,حلوة عجبتني,بدات موسيقى,حلوة عجبتني
قالولي عم تتعلم لغة جديدة ؟,نعم عم اتعلم اسباني,قالولي بتتعلم لغة جديدة ؟,نعم بتعلم اسباني
الحمدلله انك رجعت عالبيت,ليش خير شو في ؟,الحمدلله انك رجعت عالبيت,ليه خير في ايه ؟
أنا بروح بزور ستي كل سبت,برافو عليك بتنبسط منك,أنا بروح بزور ستي كل سبت,برافو عليك بتنبسط منك
فيك ترجع تعدلي الشرح لو سمحت ؟,ماشي تكرم عينك,ممكن ترجع تعيدلي الشرح لو سمحت ؟,ماشي من عنيا
شو بتعمل بالصيفية ؟,بروح عالجبل بسوق البيسيكليت,بتعمل ايه في الصيف ؟,بروج عالجبل اسوق العجلة
ما لح انساك ابدا,حبيبي ولا انا,مش انساك ابدا,حبيبي ولا انا
على اي جامعة بدك تفوت ؟,على جامعة ستانفورد,حتخش على جامعة ايه ؟,على جامعة ستانفورد
بدنا نعمل جمعة للعيلة,فكرة حلوة كتير ليش لأ. وين بدكن نروح ؟,عايزين نعمل جمعة للعيلة,فكرة حلوة اوي ليه لأ. عايز تروح فين ؟
مرحبا أنا من لبنان,احلى بلد لبنان و الأكل في كتير كتير طيب,السلام عليكم أنا من لبنان,احلى بلد لبنان و الأكل حلو جدا جدا
شو الوضع ما في كهربا ؟,من مبارح ما اجت قاعدين عالعتمة,ايه الوضع مفيش كهربا ؟,من امبارح مجتش قاعدين عالضلمة
جايي عبالي حمص بطحينة,يا زلمي ما تجوعني,جي علىى نفسي حمص بالطحينة,يا راجل متجوعنيش
أي فيلم بدك نحضر ؟,ما في ولا فيلم حلو,عايز تتفرج على فيلم ايه ؟,مفيش ولا فيلم حلو
لازم طلع شوية مصاري ضروري,لشو بدك ياهون ؟ جربت تفتش على شغل ؟,لازم اطلع شوية فلوس ضروري,عايزهم ليه ؟ جربت تدور على شغل ؟
فيي استعير طقمك ؟,لا و لا بقا تسألني اذا فيك,ممكن استلف طقمك ؟,لا و ماتسألنيش لو ينفع
مبيين عليك مبسوط,اي اليوم خلص الفصل و أخيرا,باين عليك مبسوط,اه اليوم خلص الفصل و أخيرا
من وين أنت ؟,أنا من بيروت عاصمة لبنان,انت منين,أنا من بيروت عاصمة لبنان
