Response,Utterance
أمرار مشي أمرار بيي بوصلني,كيف بتروح على المدرسة ؟
انتزع السخان و ما في مي سخنة,شو بيه معصب و عم بفش خلقه فينا ؟
بعد كم شهر لكون خلصت جامعة,ايمتا لح تسافر ؟
فعلا كتير حلو خرج نضهر مشوار,كتير حلو الطقس اليوم
بسيطة.هلق من شوف دكانة غيرها,سكرت الدكانة كان بدي جيب غراض للبيت
مش مزبوط ابدا. مين قال هيدا الحكي ؟,سمعت انو أخت لح تتجوز بعد شهر مبروك
بدنا نروح اليوم رحلة على المتحف,لوين رايحين ؟
تمام فكرة حلوة. من زمان جايي عبالي والله. شو بدك تحضر؟,شو رأيك نروح عالسينما اليوم ؟
سلامتك خير شو اشبك ؟ بشو حاسس ؟,حاسس حالي كتير مضايق
عندي تويوتا قديمة  بدي غيرها زهقت منا,شو نوع سيارتك اللي بتسوقها عادة ؟
فعلا طقس زفت اليوم ,يا الله شو هالطقس اليوم بالمرة
بحب أعزف عالعود و أسمع موسيقى,شو بتعمل بأوقات فراغك ؟
لا ما تخاف. أنا برأي كون جريء و قلها,بدي قول لرفيقتي انو بحبها بس خيفان
بحب السباحة كتير. كان بدي احترف السباحة,شو رياضتك المفضلة ؟
ربحنا نهائي كأس اليوم,شو يلي مخللاك مبسوط هلقد ؟
اي لح روح اكيد ولو ,لح تروح على الحفلة نهار السبت ؟
ما في مشكلة أكيد. مرق لعندي عالمكتب بأوقات فراغي,فيي احكي معك بخصوص الإمتحان ؟
شكرا ماما الله يخليلي ياكي,الله يوفقك اليوم بإمتحانك
ليه شو صاير معك ؟ خبرني,خلص ما بقا بدي اشتغل معو لهيدا الشخص. العمى شو مزعج
ما تقلي نصبوا عليك بالسوق مرة تانية,يا زلمي انغشيت اليوم 
ايه يمكن خلصت بطاريتها,مزبوطة الساعة ؟ كأنو مأخرة 
اهلين فيك! والله مضغوطة بالدرس,شو يا ست كيفك ؟ زمان ما شفناكي
شربلك كباية عصير ليمون بركي بتروق,راسي عم يوجعني شو بدي أعمل ؟
معك حق مليون بالمية. العلم ما إلو نهاية,لازم الواحد يضل عم يتعلم و يطور نفسه
خمسة و عشرين ليه ؟,قدي عمرك ؟
هيدي من الدخان و الأركيلة,شو هالريحة العمى شي بقرف !
تحممت بميي باردة كتير,ليه هيك شكلك متلج ؟
الها من امبارح مقطوعة,الله يلعن هالبلد انقطعت الكهربا !
لأ ليش بدي غار يعني ؟,شو غرت لأني سلمت على رفيقك ؟
معك حق. كرمال هيك كتير رخيصة,ما طيبة هالجبنة. طعمتها متل البلاستيك
يا ريت بس ضاهر مع خطيبتي,عاملين حفلة بالبيت عشية تعا 
منيح اللي قلتلي كنا رايحين نلعب فوتبول. إذا هيك لح نأجلها,عم ب قولوا عالأخبار إنو بدها تشتي بكرا 
هيدي بنت خالتي ,بترف شي مين هيدي الصبية ؟ كتير حلوين شعراتها
انتزع عندي شريط الكهرباء باليت و كنت عم صلحو,ما ضقيتلي امبارح كنت ناطر منك اتصال
منيحة ما بها شي. تسلينا شوي,كيف كانت عطلتك ؟
شي ساعة و نص بالكتير,قدي بدي وقت لأوصل على راس الجبل ؟
عفوا ما تواخذني بالغلط,شكلك قعدت محلي استاذ
عالتلوث ما شكلنا حنضاين,قدي معدل الحياة عندك بالبلد ؟
حلو بس الأكل هونيك بالمرة,رايح عاليابان بالصيفية
الحمدلله ماشي الحال ,كيفك يا زلمي ؟
ليش يا استاذ شو يلي زاعجك ؟,فيك تعيطلي لمديرك بدي اشتكي 
شكرا حبيبي كلك زوق,مبروك الجايزة. بتستاهل !
كلو تمام بس تعب كتير,كيف لقيت الشغل الجديد ؟
لأ عفوا أنا مخطوبة,فيي ارقص معك لو سمحتي ؟
لا ما في حدا تفضل  قعود,في حدا اخد هيدا المقعد ؟
اي مدري ليش هيك عم بصير,في كتير ناس عم يتطلقوا هلأيام
طب روح قلها شو بعدك ناطر يا ذكي,حبيتا من أول نظرة. كتير حلوة
عند الشب هونيك هو بساعدك,عفوا وين فيي سجل ؟
ايه كلو تمام لح اتخرج بعد شهر ان شاء الله,كيف دراستك ؟ كلشي تمام ؟
بحب أحضر افلام رومانسية,عندك شي بتحب تعملو ؟
ايه هيدا فلم رعب نزل من كم يوم,شو هو هيدا الفلم نازل جديد ؟
هيدي ستي أم ابوي,مين هيدي المرا ؟
هلق باخدك عند الحكيم,ماما اجريي عم يوجعوني كتير
بس اكيد مش اشطر من مرتي. تعلمت الطبخ عند شيف عالمي,مرتي كتير شاطرة بالطبخ. مبارع عملتلي معكرونة كتير طيبة
صحتين و هنا على قلبك,مبارح تععشيت عشى كتير طيب يا لطيف
والله ما قادرة تعبانة كتير,اليوم حلو كتير الطقس شو رأيك نروح نتمشى ؟
لازم نتصل بالشرطة,في حدا سرقلي جزداني
ماشي بس ما معي وقت كتير,فيي احكي معك بموضوع شخصي شوي ؟
عطيني بس دقيقتين و بكون خلصت,يلا يا زلمي عجل لح يروح علينا الباص
منيحة بس انتزعت السيارة بنص الطريق,كيف كانت ضهرتك مبارح ؟
ايه رايح على فرنسا يومين ,عندك سفرة شغل ؟
ايه سمعت في الله يجيرنا,سمعت انو في فيروس جديد اسمو كورونا ؟
عحبني حلو بس كأنو ضيق شوي,شو رأيك ببنطلوني الجديد ؟
شكرا حبيبي ما بدي عزبك هلق باخد سرفيس,بدك وصلك على البيت ؟ معي سيارة
شكرا كلك زوق ,ينعاد عليكي يا حلوة
برأي بلش بالديت من هلق,زايد وزني منيح عن هيديك السنة
فتش منيح بتكون مدري وين حاطو,ما عم لاقي دفتري ضاع
ماشي ضاهر شوي مع رفقاتي,شو بدك تعمل على عيد ميلادك ؟
ايه اكيد.  اي ساعة بدك ؟,تتعشي معي الليلة ؟
لا يسلمو ما بدخن أنا,تدخن سجارة معي ؟
عندي اشيا المدير بدوياني خلصها اليوم,بشو مشغول هلق ؟
في حدا ما بحب يسمعن ؟,بتحب تسمع أغاني فيروز ؟
تص عليهن سبيرتو,عقصني البرغش بالليل
عم فتش عالريموت مضري وين محطوطة,حاش تروح و تجي دوختني
خلص غيرت رأي ما بقا بدي,حاج  تلف و تدور خلصني و قلي شو بدك
ولا يهمك انتبه على حالك,ما تواخذني بس صار لازم روح
ايه فاضي فيك تقعد,هيدا المقعد فاضي ؟
والله صعبة بحس من شوف,برأيك لح نربح الماتش اليوم ؟
الله لا يوفقهم,زادو الضريبة على المعاش اليوم
ما بعرف والله بس اكيد لح خبرك عشية,جاي لعندي بكرا ؟
في ناس نيقة كتير,ليش في ناس ما بيعجبها العجب؟
بدي استعمل الكومبيوتر,شو بدك ؟
شكرا حبييبي انت الحلو,شو هالطقم الحلو يللي لابسو
معقولة كتير ما بستغرب,برأيك هو يللي سرق الذهب ؟
الله يخليلي ياكو شوفك عريس,ينعاد عليكي يا احلى أم بالدنيا
ليه يعني ؟ عادة بتسلم بالإيد ؟,اوقات ما بعرف اذا لازم سلم بالإيد
ما تعطل هم اصلن انا بضل إنسا اعياد الكل,سامحني نسيت إنو مبارح عيد ميلادك
و عليكم السلام و رحمة الله,السلام عليكم
انسا جربتو من يومين و ما عجبني,شوف هيدا المطعم فاتح جديد شكلو منيح
من شي ثلاثة اشهر,ايمتا اخر مرة حضرت فلم ؟
لا والله عم قول الحقيقة,عم تكذب عليي كمان ؟
في رفيقي معقول يهمو,بدي بيع سيارتي بتعرف حدا ممكن يشتريها ؟
مش على طول  بس بحب مجلات التكنولوجيا,بتقرا مجلات ؟
يلا كول قبل ما يبردوا,ريحة الأكل كتير طيبة !!
هيدي رسمها فنان مشهر كتير بس نسيت اسمو,شو هاللوحة تحفة فنية
بشتغل مهندس بشركة عمار,شو بتشتغل حضرتك ؟
اي واحد قزدك ؟,شفت هيدا البيت ؟
لا بحياتي ما تقتها لهيدي اللعبة ,بتعرف تلعب ورق ؟
حلوة رحت على البحر,كيف كانت عطلتك؟
محضر ما تعطل هم,لازم تحضر للإمتحان
بعرف واحد شاطر اذا بدك بدلك علي,بدي شوف نجار يعملي مكتب اشتغل علي
خير شو اشبك ؟,عندي مزعد عند الحكيم بعد ساعة
اي ما بتخسر شي اذا سألتها,برأيك بسألها إذا بتروح معي على الحفلة ؟
دور المكيف أو المروحة,شوب كتير فطست
بيعد عني يا زلمي شو بيك !!,قلتلك إنو معي كورونا ؟
بدكتشوف خزلنة ستك,من زين فيي اشتري ثياب قديمة ؟
اشتري دفتر خط,بدي زبط خطي كتير بشع
طول بالك لازم تكون صبور يا زلمي,صرلي اسبوعين عم جرب و مش عم تظبت معي
الف مبروك صبي أو بنت ؟,لح يجيني ولد جديد
اي و أنا حفيدي مهندس,حفيدي دكتور بشوف حالي في
حلوة عجبتني,بلشت الموسيقى
نعم عم اتعلم اسباني,قالولي عم تتعلم لغة جديدة ؟
ليش خير شو في ؟,الحمدلله انك رجعت عالبيت
برافو عليك  بتنبسط منك,أنا بروح بزور ستي كل سبت
ماشي تكرم عينك,فيك ترجع تعدلي الشرح لو سمحت ؟
بروح عالجبل بسوق البيسيكليت,شو بتعمل بالصيفية ؟
حبيبي ولا انا,ما لح انساك ابدا
على جامعة ستانفورد,على اي جامعة بدك تفوت ؟
فكرة حلوة كتير ليش لأ. وين بدكن نروح ؟,بدنا نعمل جمعة للعيلة
احلى بلد لبنان و الأكل في كتير كتير طيب,مرحبا أنا من لبنان
من مبارح ما اجت  قاعدين عالعتمة,شو الوضع ما في كهربا ؟
يا زلمي ما تجوعني,جايي عبالي حمص بطحينة
ما في ولا فيلم حلو,أي فيلم بدك نحضر ؟
لشو بدك ياهون ؟ جربت تفتش على شغل ؟,لازم طلع شوية مصاري ضروري
لا و لا بقا تسألني اذا  فيك,فيي استعير طقمك ؟
اي اليوم خلص الفصل و أخيرا,مبيين عليك مبسوط
أنا من بيروت عاصمة لبنان,من وين أنت ؟
ماشي ما تعطل هم الله معك,لازم روح ما تواخذني عندي موعد عند الحكيم
منيح حلو تعرفت على ناس جداد,كيف كان أول يوم جامعة ؟
شو رأيك نجيب شاورما ؟,جوعان كتير شو بدنا ناكول ؟
صباح النور اهلين فيك ,صباح الخير يا حلوة
طبعا في حدا ما بحب الورد يعني ؟,بتحبي الورود ؟
منيح اجمالا بس يمكن تشتي شوي,كيف الطقس برا ؟
بكون جوعان عمليلو بيبروني,ما عم يسكت الصبي شو بدي اعمل
لا بالعكس بتزهقني كتير,الموسيقى الكلاسيكية بتروق الأعصاب
سمعت عنها شكلو شي مرتب,في كافيه جديدة فتحت بالبلد
مبروك شو هالخبر الحلو,لحسير خال عن قريب
لا بس احيانا لما كون زهقان,بتجي لهون كتير انت ؟
اي والله انبسطنا,كانت حلوة كتير هالحفلة
متل العادي فريق الميرسيديس,مين ربح السبق ؟
اي ما في مشكلة بس شوفا بحكيلها عنك,فيك تحكيلي مع رفيقتك عبالي اعزمها عالغدا
تركني هلق معصب ما طايق حالي,ليش ما عم بترد عليي ؟
كيف عورتها ؟ كيف صارت هلق ؟,عورت اجري من يومين ؟
شكرا مقدمة مع انو قديمة شوي,حلوة سيارتك كتير
مش بعيد تقريبا بعد اسبوع,ايما عيد ميلادك ؟
سلامتو شو عم بصير معو ؟,جدي عم يتعب كتير هالأيام
هندسة كمبيوتر و مركز عالذكاء الإصطناعي,شو عم تدرس بالجامعة ؟
ما بأسر أنا كمان علقت بهالعجقة شي مش معقول,عفوا عالتأخير بس عنجد كان في كتير عجقة عالطريق
عم شوف الأخبار الرياضية شو الوضع,عن شو عم تقرا بالجريدة ؟
اي ليش لأ كان جايي عبالي,تروح نلعب فوتبول الليلة ؟
طبعا بحبا كتير سهلة,بتحب اللغة اللإنجليزية ؟
ايه شفتك تاركا عالكرسي,شفت شي بلوزتي ؟ ضيعتها
اهلا اهلا والله بالأكتر,كيفو المعلم مشتاقين
لا شكلو مل بيعرف يشرح,عجبك الأستاذ الجديد ؟
اكيد شي ولد بلا تنظيم,مين عمل هالشي الغبي؟
برد كتير. ضلت الدنيا تتلج طول النهار,شو كيف الطقس اليوم؟
انا كمان. يا ريت الدنيا صيف,ما بحب فصل الشتاء بحب فصل الصيف
هيدا بيوعد وما بيوفي بوعدو,الصبي وعدنا انو حيساعدنا
حبيبي عاش مين شافك!,شو هل الصدفة السعيدة!
شكرا  عل معنويات!,انا كتير فخور فيك!
كنت تعبان شوي ما قدرت اجي نمت,ليش ما جيت عل حفلة مبارح؟
ليش؟  على ايا رحلة كنت مسافر؟,كان في شي غريب بالطيارة مبارح
لا ما تعتل هم اختي ساكنة هونيك,يمكن المنطقة مش امان هونيك
 حأنزل جبلك عصير,انا عطشان كتير
"اكيد, بعرف عنا خدومة كتير",ليك ممكن هل صبية تساعدنا بأوراق المعاملة؟ 
انا مهندس معماري,انت بشو متخصص؟
الحمدلله حلوة كتير,شو كيف كانت العطلة؟
بدي صباط جديد إذا فيك ,شو بدك جبلك هدية عل عيد ميلادك؟ 
لا ما تشدي ايدك كتير,مبين علىى زوجك انو خدوم كتير
مبلا عندي بس ما بقدر اعتمد عليهن وقت الجد,ليش بتعتبر انو ما عندك اصحاب؟
كان عندي التزمات برات الجامعة,ليش ما جيت عالصف مبارح؟ 
ولك بالعكس يا خيي. اكيد بتعمل سعادة!,ليك المصاري بعمرا ما بتعمل سعادة
اها! اكيد عندو خبرة لكن,هيدا اشتغل خمس سنين بالبنك
ايه الحمدلله,شو نجحت؟
"عال, كم زبون عندك؟",المصلحة لفتحناها ماشي حالها منيح
يخزي العين! طالع عريس,ليك شوف هالبدلة لشتريتها اليوم
البنك بيسكر بعد نص ساعة ولازم اصرف الشيك,ليش مستعجل؟ 
خليك يا زلمة قاعدين,يلا بالأذن لازم امشي
عيب عليك تقول هيك,هيدا الشب ما حيطلع من امرو شي
عنجد! عم فكر اطلبلن الدرك!,الجيران صايرين كتير مزعجين! 
ايه شوفو محطوط عالمكتب,شو خبروني انك اشتريت كمبيوتر جديد
اه والله! انا كنت بفريق الباسكت,كنت العب بفريق الفوتبول ايام المدرسة
"الأثنين صعبة, حطلك الموعد الثلاثاء؟",ممكن ناخد الموعد نهار الأثنين؟ 
"ما بعتقد, انت شو رأيك؟",اولك الناس بعد عندا ثقة بالحكومة؟
اديه عمرو؟ وليش بعدو ما بيعرف يقرا ويكتب؟,ليك ممكن تعلم هالشب كيف يقرا ويكتب؟
اوف! مين بلش بالمشكل؟,عملت مشكل مع صاحبنا
ايه عم درس رياضيات بالمدرسة الرسمية,سمعنا انو لقيتي وظيفة جديدة
ازا حابب تخسر ايه اكيد!,"حاسس حالي احسن اليوم, بدك نلعب عن جديد؟"
"ماشي اكيد,  ايا ساعة؟",اتصل فيي بكرا بكير 
"صح, لي عندك صار كتير قديم",لازم جيب بنطلون جديد
لا انا اعزب للأسف,انت مزوج؟ 
اشتغلت عمشروع الأحتباس الحراري,شو عملت بالعطلة؟ 
بس فيك تعتبرها كأنها رياضة,شو بتضايق من طلعة الدرج كل يوم
حاشتريلها ورد  لزهرة حياتي,شو ح تعمل لمرتك على عيد الحب؟
حبيبي انا بالأكتر,حبيبي كتير انبسطت بشوفتك 
"اكيد اتفضل, بدك ورقة كمان؟",ممكن استعير قلم رصاص؟
اتشرفت بمعرفتك! سوق عمهلك ,بعتذر بس انا صار لازم امشي
عم احضر تلفزيون,شو عم تعمل؟
ليش عم تخبرني هيدا الشي؟,اختي حتسافر عأمريكا
ابدا! كان بقرف!,عجبك الغدا؟
اكتر شي بحب احضر المسلسلات التركية,شو اكتر برنامج بتحب تحضرو عل تلفزيون؟
ايه والله ما نمت مبارح منيح,شو شكلك تعبان
"ايه شفتو, اخدو الركاب عل المستشفى و في واحد بدو عملية",شفت حادث السير لي صار مبارح؟
وانت بخير يا قليي,كل عام و انت بخير
ايه ما بتخيل حياتي من دونها,شو شكلك حبيتا 
يا لطيف! شو التهمة؟,عرفت انو صديقي فات عالحبس
هيك الدنيا يوم الك ويوم عليك,خسر وظيفته وكل شي بيملكو
"اليوم المسا مش فاضي, بتقدر تأجلها لبكرا؟","لازم شوفك اليوم, عندك شي المسا؟"
ايه تفضل. شو  مغرب؟,معك محرمة؟
"منشوف, بس يمكن بابا ما بيقدر يروح",تروحو عل السينيما نهار الأحد بليل؟ 
مستحيل! انشاالله بتتهنا,انا مسافر برحلة حول العالم بالصيف
شكرا  بس عندي مشرو ع غير ما بقدر,"طالعين على فاريا نهار الأحد, بتحب تجي معنا؟"
الحمدلله مريحة كتير,كيف الوظيفة الجديدة؟
"احسن من مبارح, بس بعدني مريض","صباح الخير, كيفك اليوم؟ "
ما بعتقد حأحضرها ما بحب الفوتبول,وين حتحضر الكلاسيكو؟
موتر كتير!,كيف حاسس؟
بسيطة الحظ مكان معك,مش قادر صدق انو خسرت!
"لا شكرا, بعرف اتصرف لحالي",بدك مساعدة؟ 
ايه سامعك بس بتقدر تعيد اخر جملة؟,بعدك قادر تسمعني؟ 
روق روق روق! الموضوع مش مستاهل,يا زلمة حأخوت حجن! مش قادر اتحمل بقى!
لا مش كآبة علقت مع جاري مبارح بس,مبين عليك انك صايبك كآبة
هيدا الأستاذ الجديد,مين هيدا لي واقف هونيك؟
عم تمزح! واخيرا,الأستاذ لغى الأمتحان
ايه ازا الطقس منيح منقضي  النهار برا,بتحب نحضر شي لبكرا؟ 
فكرة حلوة خلينا نروح,تروح عل مكتبة معي؟
الليلة صعبة شوي لأن رايح على عرس رفيقي,ايمتى منقدر نعزمك عل عشا؟ شو رأيك الليلة؟
عنجد؟ هلقد مبين عليي اني مبسوط؟,مبين في بتمك حكي
ما في شي محدد بحب تابع كل شي,ايا رياضة بتحب اتابع اكتر شي؟
"الحمدلله تمام, شكرا عل سؤال, كيفك انت؟","صباح الخير, كيف كل شي معك؟ "
"الله يعافيك , اكيد ولو!","يعطيك العافية, ممكن تساعدني بتدوير المكنة؟"
ماشي شكرا,"ما تخاف, خليك عم تجرب"
كنت حب العب داما وشطرنج,شو الألعاب لي كنت تحب تلعبا انت وصغير؟
"كنت متوقع يصير هيك, صار بيناتن مشاكل كتير اخر فترة",هيدول لي كانوا علقانين الأسبوع الماضي اطلقوا
الشي لي ما بينبنى على حب واحترام متبادل ما بينجح,شو رأيك بالزواج الي ما بينبنا على حب؟
بحب سفر السياحة بس سفر الشغل ابدا,بتحب تسافر؟
زارع تشكيلة منوعة! شو ما بيخطر على بالك!,شو انواع الخضرة لي زارعن بالجنينة؟
بهل وقت من السنة بكون دف,كيف كان الطقس بالبلد الي جاي منو؟
بشو بقدر ساعدك؟,يا الله! حأتخر عل موعد!
ما في شك! انشاالله بعطلة الربيع الجاي,لازم تصير تزورنا اكتر 
مش عارف خليني شوف,شو هيدا الشي؟
اها! عقبال منشوفك انت المدير,اليوم عينوا مدير جديد بالشركة
ايه بجنن!,الطقس حلو اليوم ايه؟
ايه فاضي بس مش حابب روح,فاضي نهار الأحد لنروح عل ماراثون؟
لا ابدا! ما حبيتو ابدا,شو عجبك الفبلم؟
والله ما في شي بس شويت ضغط من الشغل,شو القصة ليه هلقد تعبان؟
شو عم تحكي! مين خبرك هل حكي,بتعرف انو شرب البيرة بخلي صوتك احلى؟
اكيد تفضل,"عفوا, ممكن تزيح شوي؟"
علينا وعليك,"اسبوع الجاي ببلش شهر رمضان, رمضان كريم!"
ليش لوين بدك تروح فيها؟,"من بعد اذنك, ممكن استعير البسكليت؟"
ابدا! الدنيا فرص والشاطر ما بفوت فرصة هيك,ما بتحسها غريبة انك تستلم مطرح المدير القديم؟
ما بتقدر تخسرني,شو رأيك خسرك بلعبة التنس؟
ايه السعلة صارت اقوى كمان , بعدك عم تسعل؟
معك حق بس هيدي عادة قديمة ما بقدر وقفها,لازم توقف تدخين عم اتضر صحتك كتير
"منيحة, سافرت على استراليا ونيوزلاندا ",كيف كانت الصيفية؟
مافي شي شكرا عل اهتمام,صرلك فترة مش مبسوط شو القصة؟
شفتو حبيبي يعطيك العافية بجنن,ماما ممكن تراجعلي الفرض قبل ما سلمو بكرا؟
ايه اكيد ما عندي مانع منغير جو شوي ,شو رأيك نروح نكزدر عل كورنيش نهار الأحد؟
كل عام وانت بخير!,ميلاد مجيد! 
ما تعتل هم. كل شي حيكون منيح,انا انتهيت. فلست رسميا
اكيد. لحظة لجيبها من الخزانة,ممكن تفرجيني البدلة تعيتك؟
كيف بتسترجي تحكي معي هيك؟,انا تعبت منك! انت مين مفكر حالك ولا؟
ايه. السبت والأحد رحت,مبين عليكي مسمرّة. شو كاينة عل بحر؟
القلب بيضخ الدم يا استاذ,اليوم حنكمل درس  العلوم. شو وظيفة القلب بالجسم؟
ليش؟ هيك عم بخلق فرص اكتر ,هيدي الخطة مش منيحة لشغلك. عم تلعب بالنار
ايه. جدي علمني ياها,بتعرف تلعب شطرنج؟ 
انا كمان! اتبسطت بشوفتك ,يا لطيف لديه صرني مش شايفك! 
ايه لأن بحاجة لواحد اكبر,شو مبين جايب براد جديد؟
ايه! تعلمت كيف هيديك السنة وحبيت كتير,شو بتحب التزلج؟ 
تكرم. بتحب حطلك الحجز ليوم تاني؟,بدي الغي حجز نهار الخميس بليل ازا بتريد
اكيد. بس انتبه يمكن بدو تشريج,ممكن اسعمل اللابتوب تعولك شوي؟
بعرف مطعم بيعمل طبخ لبناني. بدك نجيب؟,تعبت من الأكل الجاهز. اشتقت اكل طبخ لبناني
جبتلها ورد واشتريتلها غسالة.,شو جبت لأمك ع عيد الأم؟ 
ما بعرف ما فكرن بهيدا الموضوع قبل,شو حيصير بالولاد ازا اطلقت انت والمحروسة؟
ايه سافرت مرتين قبل هيك,مسافر قبل بمرة عل يابان؟
بعدني مطرح ما كنت ما غيرت,وين ساكن هلق؟
عمال معروف بدي اشتري هيدول الكتب,كيف بقدر ساعدك استاذ؟ 
بشوف. مين ومين رايح؟,بتحب تروح ناكل اكل صيني نهار الجمعة؟
لا. كنت ضل مشغول بالدرس. انت كنت تشتغل؟,كنت تشتغل ايام الجامعة؟
ابدا. ما تسليت بالمرة,حبيت اللعبة؟
اكيد. بس لازم ترجعن خلال اسبوع,ممكن استعير هل كتابين؟
ليش خير شو القصة؟,عنجد انا ما بعرف كيف ابتليت وتجوزت
بعدا بألف ليرة,اديه حق الجريدة اليوم؟
متضايق من الوضع بالبلد ,شو ليش معصب؟ 
ياالله! كنت كتير حابب روح,كل التذاكر انباعت. مش حنقدر نحضر الحفلة.
لا مش ضروري. البوظة بتكفي وبتوفي,بدك حطلك فواكه حد البوظة؟ 
الأزرق السماوي او الأزرق الفاتح,شو لونك المفضل؟
تكرم عينك. ما بدك خس كرمال السلطة؟,عمال معروف بدي كيلو بندوة و تنين كيلو خيار
ماشي. حاسب عل صندوق و عشر دقائق بكونو جاهزين,من بعد امرك بدي سندويشة كفتة وسندويشة طاووق.
ايه. هبق بعطيك رقم الي بقص عندو,بدي روح قص شعري. بتعرفلك حلاق شاطر؟
ليش؟ انت بهمك هل مجال؟,لازم اخد مواد بإدارة الأعمال قبل ما اتخرج
سبعة وستين راكب.,كم راكب في عل طيارة؟
ضغط كتير. اخد مواد زيادة كرمال اتخرج عل وقت,شو كيف دوامك هيدا الفصل؟ 
ايه ما كانت تدور السيارة معي الصبح,مرحبا. شفتك جاي مشي عل شغل اليوم
بعتذر. علقت بعجقة سير,صرني اكتر من نص ساعة ناطرك. ليش تأخرت؟
تأكد قبل انو في مي سخنة,انا فايت اتحمم
ايه. اعملي معك عمال معروف,تشرب شاي اخضر؟
شكرا! عيونك الحلوين,شو هل الجنينة الحلوة! لون الورد بجنن
معك حق. لازم اعمل رياضة,لازم تصير تهتم بصحتك. ما بصير هيك
لوين بدك تروح؟,بس خلص درس لازم اضهر غير شويت جو
ولو! انت من اعز الناس علينا,شكرا عل الهدية! كلكن ذوق
